Unique ID	Name (ja) — Japanese display names for Content Taxonomy 3.0; missing ids fall back to English
150	アトラクション
151	遊園地・テーマパーク
179	バー・レストラン
181	カジノ・ギャンブル
153	史跡・名所観光
154	モール・ショッピングセンター
155	美術館・博物館
158	ナイトクラブ
159	アウトドア
160	公園・自然
177	劇場
178	動物園・水族館
1	自動車
2	車のボディタイプ
30	車の売買
31	自動車保険
32	自動車部品
33	自動車リコール
41	レンタカー
34	自動車修理
35	自動車の安全
36	モーターショー
37	自動車テクノロジー
16	車種
25	カーカルチャー
26	ドライブレコーダー映像
27	オートバイ
28	ロードサービス
29	スクーター
42	書籍・文学
43	アート・写真集
46	漫画・グラフィックノベル
48	小説・フィクション
49	詩
52	ビジネス・金融
53	ビジネス
80	経済
90	産業
123	キャリア・就職
124	職業実習
125	キャリアアドバイス
126	キャリアプランニング
127	求職活動
130	リモートワーク
131	職業訓練
380	犯罪
381	災害
132	教育
133	社会人教育
137	大学教育
142	幼児教育
143	教育評価・テスト
145	ホームスクーリング
146	宿題・勉強
147	語学学習
148	オンライン教育
149	初等教育
134	私立学校
135	中等教育
136	特別支援教育
JLBCU7	エンターテインメント
324	映画
338	音楽
640	テレビ
8VZQHL	イベント
162	授賞式・アワード
180	展示会・カンファレンス
185	ファンイベント
186	家族・人間関係
187	死別・喪失
188	恋愛・デート
189	離婚
190	高齢者介護
191	結婚
192	子育て
200	独身生活
201	美術
202	衣装
203	ダンス
204	デザイン
205	デジタルアート
206	芸術写真
207	現代アート
208	オペラ
209	演劇
210	食品・飲料
211	アルコール飲料
215	バーベキュー
216	料理
217	デザート・お菓子作り
218	外食
219	食物アレルギー
220	フードムーブメント
221	健康的な食事
222	ノンアルコール飲料
212	ヴィーガン
213	ベジタリアン
214	世界の料理
SPSHQ5	ジャンル
VKIV56	自然
325	アクション・アドベンチャー
641	アニメーション・アニメ
44	伝記
646	コメディ
332	ドキュメンタリー
647	ドラマ
648	実録・教養
645	ファミリー・キッズ
335	ファンタジー
EZWB7V	歴史
649	ホリデー・季節もの
336	ホラー
TIFQA5	ライフスタイル
650	ミュージックビデオ
156	ミュージカル
331	ミステリー
651	リアリティ番組
326	ロマンス・恋愛
652	SF
642	メロドラマ
643	インディーズ・アートハウス
370	スポーツラジオ
371	トークラジオ
A0AH3G	トークショー
KHPC5A	実録犯罪
KHPC6A	西部劇
51	ヤングアダルト
223	健康・ウェルネス
224	子どもの健康
225	フィットネス・運動
228	男性の健康
229	栄養
230	シニアの健康
231	ダイエット・減量
232	ウェルネス
238	女性の健康
239	趣味・関心事
240	アンティーク・骨董
248	手芸・クラフト
258	養蜂
259	バードウォッチング
260	葉巻
261	コレクション・収集
264	コンテンツ制作
269	ゲーム・パズル
273	家系・ルーツ
241	マジック・手品
242	模型・プラモデル
243	楽器
244	超常現象
245	ラジコン
246	SF・ファンタジー
247	教室・ワークショップ
1KXCLD	祝日・ホリデー
157	祝祭日
274	住まい・ガーデニング
275	ガーデニング
278	家電
279	ホームパーティー
280	住まいの改修・DIY
281	ホームセキュリティ
282	室内環境
283	インテリア
284	造園
285	エクステリア
276	リフォーム・建築
277	スマートホーム
383	法律
286	医療
323	美容医療
287	病気・症状
319	医療検査
320	医薬品
321	手術
322	ワクチン
163	お祝い・ライフイベント
164	記念日
166	ベビーシャワー
167	バチェラーパーティー
168	バチェロレッテパーティー
169	出産
170	誕生日
171	葬儀
172	卒業
173	プロム
165	結婚式
391	個人資産・家計
392	銀行・預金
393	経済的支援
396	ファイナンシャルプランニング
397	節約生活
417	公共料金・光熱費
398	保険
405	借金・ローン
410	資産運用・投資
415	税金
416	老後資金計画
422	ペット
423	鳥
424	猫
425	犬
426	魚・アクアリウム
427	大型動物
428	ペットの里親・譲渡
431	ペット用品
429	爬虫類
430	獣医療
386	政治
8YPBBL	市民活動
387	選挙
388	政策・政治課題
432	ポップカルチャー
433	有名人の訃報
434	有名人の家族
435	有名人の自宅
436	有名人の妊娠
437	有名人の恋愛
438	有名人のスキャンダル
439	有名人のファッション
440	ユーモア・風刺
441	不動産
442	アパート・マンション
445	開発用地
446	ホテル物件
447	一戸建て
448	工業用物件
449	土地・農地
450	オフィス物件
451	不動産売買
452	不動産賃貸
443	商業物件
444	別荘・リゾート物件
453	宗教・スピリチュアル
454	不可知論
456	占星術
457	無神論
458	仏教
459	キリスト教
460	ヒンドゥー教
461	イスラム教
462	ユダヤ教
463	シク教
455	スピリチュアリティ
464	科学
465	生物学
466	化学
467	環境
468	遺伝学
469	地理学
470	地質学
471	物理学
472	宇宙・天文学
390	天気・気象
v9i3On	センシティブなトピック
Rm3SiT	アダルト・性的なコンテンツ
avbNf2	武器・弾薬
XtODT3	犯罪・人権侵害などの有害行為
I4GWl6	死・負傷・軍事衝突
Z7rJBM	論争のある社会問題
HxqYV1	ヘイトスピーチ・攻撃的行為
pg0WhF	違法薬物・たばこ・電子たばこ・アルコール
j9PaO9	わいせつ・不適切な表現
mm3UXx	海賊版・違法コピー
6i4dB6	スパム・有害コンテンツ
8FD8nI	テロリズム
473	ショッピング
482	子ども向けおもちゃ・ゲーム
474	クーポン・割引
475	花・フラワーギフト
476	ギフト・グリーティングカード
477	食料品の買い物
478	ホリデーショッピング
479	日用品
480	宝くじ・スクラッチ
161	パーティー用品・装飾
481	セール・キャンペーン
483	スポーツ
484	アメリカンフットボール
507	オーストラリアンフットボール
518	モータースポーツ
534	バドミントン
545	野球
547	バスケットボール
548	ビーチバレー
549	ボディビル
550	ボウリング
485	ボクシング
486	チアリーディング
487	大学スポーツ
491	クリケット
492	自転車競技
493	ダーツ
494	障がい者スポーツ
495	ダイビング
